Brand,Model_Name,Year,Price_USD,Units_Sold_2024,battery_capacity_kwh,range_km,efficiency_wh_per_km,fast_charging_power_kw_dc,Vehicle_ID,efficiency_km_per_kwh
Acura,ZDX (with GM Ultium),2015.0,111203.94,19726.0,,,,,1.0,
Acura,ZDX (with GM Ultium),2023.0,141046.94,1051.0,,,,,5.0,
Acura,ZDX (with GM Ultium),2016.0,104140.23,18076.0,,,,,149.0,
Acura,ZDX (with GM Ultium),2017.0,135971.68,2050.0,,,,,168.0,
Acura,ZDX (with GM Ultium),2021.0,97878.13,1919.0,,,,,203.0,
Acura,ZDX (with GM Ultium),2023.0,32369.01,5017.0,,,,,236.0,
Acura,ZDX (with GM Ultium),2021.0,106970.73,16476.0,,,,,264.0,
Acura,ZDX (with GM Ultium),2020.0,73894.0,11268.0,,,,,305.0,
Acura,ZDX (with GM Ultium),2021.0,129874.05,15186.0,,,,,417.0,
Acura,ZDX (with GM Ultium),2018.0,121435.76,14388.0,,,,,482.0,
Acura,ZDX (with GM Ultium),2022.0,47321.54,3868.0,,,,,492.0,
Acura,ZDX (with GM Ultium),2023.0,93188.57,15287.0,,,,,683.0,
Acura,ZDX (with GM Ultium),2017.0,34620.21,1992.0,,,,,713.0,
Acura,ZDX (with GM Ultium),2017.0,121861.15,5470.0,,,,,721.0,
Acura,ZDX (with GM Ultium),2023.0,68357.14,12781.0,,,,,782.0,
Acura,ZDX (with GM Ultium),2016.0,146922.53,14522.0,,,,,803.0,
Acura,ZDX (with GM Ultium),2018.0,66646.06,5065.0,,,,,804.0,
Acura,ZDX (with GM Ultium),2019.0,69459.56,7954.0,,,,,838.0,
Acura,ZDX (with GM Ultium),2016.0,69285.43,9386.0,,,,,867.0,
Acura,ZDX (with GM Ultium),2025.0,70931.67,8064.0,,,,,899.0,
Acura,ZDX (with GM Ultium),2025.0,129637.0,8543.0,,,,,1077.0,
Acura,ZDX (with GM Ultium),2020.0,30229.32,18499.0,,,,,1285.0,
Acura,ZDX (with GM Ultium),2021.0,140272.08,15858.0,,,,,1302.0,
Acura,ZDX (with GM Ultium),2022.0,128449.36,3318.0,,,,,1328.0,
Acura,ZDX (with GM Ultium),2020.0,61872.12,16069.0,,,,,1331.0,
Acura,ZDX (with GM Ultium),2019.0,130500.15,5965.0,,,,,1382.0,
Acura,ZDX (with GM Ultium),2023.0,64007.22,19566.0,,,,,1492.0,
Acura,ZDX (with GM Ultium),2015.0,109793.25,18584.0,,,,,1580.0,
Acura,ZDX (with GM Ultium),2022.0,33106.84,8993.0,,,,,1595.0,
Acura,ZDX (with GM Ultium),2019.0,54920.21,4652.0,,,,,1656.0,
Acura,ZDX (with GM Ultium),2016.0,126807.74,5597.0,,,,,1765.0,
Acura,ZDX (with GM Ultium),2023.0,40438.27,14042.0,,,,,1788.0,
Acura,ZDX (with GM Ultium),2018.0,96882.3,12706.0,,,,,1832.0,
Acura,ZDX (with GM Ultium),2022.0,132608.64,2360.0,,,,,1954.0,
Acura,ZDX (with GM Ultium),2015.0,102547.12,13495.0,,,,,2044.0,
Acura,ZDX (with GM Ultium),2021.0,41234.44,11743.0,,,,,2074.0,
Acura,ZDX (with GM Ultium),2025.0,79707.73,11636.0,,,,,2188.0,
Acura,ZDX (with GM Ultium),2024.0,79061.75,17806.0,,,,,2190.0,
Acura,ZDX (with GM Ultium),2018.0,79290.79,4222.0,,,,,2191.0,
Acura,ZDX (with GM Ultium),2019.0,134504.74,4760.0,,,,,2200.0,
Acura,ZDX (with GM Ultium),2025.0,66286.07,5848.0,,,,,2241.0,
Acura,ZDX (with GM Ultium),2020.0,106909.17,13675.0,,,,,2403.0,
Acura,ZDX (with GM Ultium),2020.0,99370.06,1756.0,,,,,2468.0,
Acura,ZDX (with GM Ultium),2015.0,120890.93,5079.0,,,,,2471.0,
Acura,ZDX (with GM Ultium),2023.0,145428.02,876.0,,,,,2541.0,
Acura,ZDX (with GM Ultium),2017.0,40443.39,4917.0,,,,,2640.0,
Acura,ZDX (with GM Ultium),2015.0,137538.74,5980.0,,,,,2677.0,
Acura,ZDX (with GM Ultium),2022.0,117907.54,8896.0,,,,,2699.0,
Acura,ZDX (with GM Ultium),2016.0,69408.39,15883.0,,,,,2743.0,
Acura,ZDX (with GM Ultium),2016.0,42219.42,12244.0,,,,,2746.0,
Acura,ZDX (with GM Ultium),2024.0,132857.5,10586.0,,,,,2772.0,
Acura,ZDX (with GM Ultium),2016.0,109200.84,15217.0,,,,,2787.0,
Acura,ZDX (with GM Ultium),2016.0,84519.99,17535.0,,,,,2929.0,
Acura,ZDX (with GM Ultium),2017.0,137232.76,12536.0,,,,,2932.0,
Acura,ZDX (with GM Ultium),2021.0,88645.67,817.0,,,,,2941.0,
Lamborghini,Revuelto (PHEV),2025.0,127131.65,3349.0,,,,,2.0,
Lamborghini,Revuelto (PHEV),2022.0,56591.57,13942.0,,,,,43.0,
Lamborghini,Revuelto (PHEV),2016.0,136755.04,2529.0,,,,,324.0,
Lamborghini,Revuelto (PHEV),2017.0,34937.15,10388.0,,,,,528.0,
Lamborghini,Revuelto (PHEV),2020.0,63113.63,3943.0,,,,,604.0,
Lamborghini,Revuelto (PHEV),2016.0,45263.09,17712.0,,,,,697.0,
Lamborghini,Revuelto (PHEV),2025.0,76170.42,16325.0,,,,,856.0,
Lamborghini,Revuelto (PHEV),2018.0,59342.54,16026.0,,,,,1096.0,
Lamborghini,Revuelto (PHEV),2025.0,146433.67,6988.0,,,,,1383.0,
Lamborghini,Revuelto (PHEV),2020.0,43372.61,5207.0,,,,,1483.0,
Lamborghini,Revuelto (PHEV),2021.0,114772.81,10360.0,,,,,1539.0,
Lamborghini,Revuelto (PHEV),2025.0,54336.36,10106.0,,,,,1664.0,
Lamborghini,Revuelto (PHEV),2017.0,48495.26,19667.0,,,,,1722.0,
Lamborghini,Revuelto (PHEV),2024.0,44042.07,7109.0,,,,,2025.0,
