Year,US_EV_Sales,EV Charging Ports,Station Locations,Battery_Price_USD_per_kWh,Global_EV_Sales
1991,,,,9210.23,
1992,,,,7388.138,
1993,,,,5881.7812,
1994,,,,6714.4497,
1995,,,,6301.8833,
1996,,,,5307.834,
1997,,,,4545.2925,
1998,,,,3656.8633,
1999,,,,2769.8726,
2000,,,,2690.6272,
2001,,,,1878.0293,
2002,,,,1345.5295,
2003,,,,1040.3679,
2004,,,,930.90393,
2005,,,,802.5369,
2006,,,,687.29584,
2007,,,,655.836,
2008,,,,687.6569,
2009,,,,612.57623,
2010,,,,550.72064,7450.0
2011,17800.0,5070.0,2100.0,524.59796,49000.0
2012,54000.0,14982.0,6200.0,539.6925,118000.0
2013,97000.0,19472.0,8100.0,490.8935,201000.0
2014,118000.0,25944.0,10977.0,434.2699,330000.0
2015,114000.0,34333.0,14138.0,331.94275,520000.0
2016,160000.0,44354.0,17810.0,259.0,780000.0
2017,194000.0,52450.0,19965.0,187.0,1200000.0
2018,360000.0,64249.0,22896.0,157.0,2050000.0
2019,325000.0,85439.0,27031.0,132.0,2080000.0
2020,294000.0,107561.0,31816.0,123.0,2970000.0
2021,630000.0,128904.0,50172.0,119.0,6600000.0
2022,990000.0,151273.0,57482.0,132.0,10200000.0
2023,1390000.0,184098.0,68475.0,111.0,13700000.0
2024,1520000.0,,,78.0,17500000.0
