Vehicle_ID,Manufacturer,Model,Year,,,,,,Price_USD,,,,,,Units_Sold_2024
1,Acura,ZDX (with GM Ultium),2015,,,,,,"$111,203.94",,,,,,19726
2,Lamborghini,Revuelto (PHEV),2025,,,,,,"$127,131.65",,,,,,3349
3,NIO,ET7,2020,,,,,,"$94,347.37",,,,,,6300
4,Audi,e-tron,2025,,,,,,"$75,615.15",,,,,,2339
5,Acura,ZDX (with GM Ultium),2023,,,,,,"$141,046.94",,,,,,1051
6,XPeng,G9,2016,,,,,,"$89,907.75",,,,,,8609
7,Jeep,Recon (upcoming),2024,,,,,,"$35,653.97",,,,,,12504
8,Changan,Q05,2019,,,,,,"$94,436.44",,,,,,8630
9,Citroen,ë-C4,2023,,,,,,"$90,919.55",,,,,,18
10,Rimac,Nevera,2015,,,,,,"$58,904.59",,,,,,17455
11,Volkswagen,ID.Buzz,2022,,,,,,"$141,469.62",,,,,,16959
12,Jaguar,I-PACE,2018,,,,,,"$30,862.90",,,,,,7798
13,Mini,Mini Cooper SE,2018,,,,,,"$86,756.75",,,,,,15303
14,BMW,iX3,2025,,,,,,"$43,112.28",,,,,,2470
15,Faraday Future,FF 91,2015,,,,,,"$141,164.04",,,,,,5394
16,Tesla,Model Y,2019,,,,,,"$144,878.12",,,,,,18978
17,Maserati,Grecale Folgore,2020,,,,,,"$90,939.42",,,,,,3928
18,Polestar,Polestar 2,2024,,,,,,"$54,511.10",,,,,,10360
19,Tesla,Model Y,2024,,,,,,"$45,894.79",,,,,,9912
20,Faraday Future,FF 91,2025,,,,,,"$46,114.93",,,,,,11235
21,Skoda,Elroq (upcoming),2019,,,,,,"$80,829.09",,,,,,5294
22,Geely,Emgrand EV,2021,,,,,,"$130,151.40",,,,,,11724
23,Skoda,Enyaq,2025,,,,,,"$119,937.31",,,,,,10885
24,Faraday Future,FF 91,2019,,,,,,"$133,031.19",,,,,,7304
25,Mini,Mini Electric,2021,,,,,,"$91,128.68",,,,,,19024
26,Chevrolet,Bolt EV,2024,,,,,,"$148,108.30",,,,,,17036
27,Skoda,Elroq (upcoming),2025,,,,,,"$109,606.50",,,,,,18166
