brand,model_name,year,Price_USD,units_sold_2024,battery_capacity_kwh,range_km,efficiency_wh_per_km,fast_charging_power_kw_dc,vehicle_id,efficiency_km_per_kwh,range_miles
Maserati,Grecale Folgore,2020.0,90939.42,3928.0,95.0,400.0,220.0,110.0,17.0,4.2105263157894735,248.54840000000002
Maserati,Grecale Folgore,2020.0,143953.41,7142.0,95.0,400.0,220.0,110.0,37.0,4.2105263157894735,248.54840000000002
Maserati,Grecale Folgore,2025.0,49910.73,9964.0,95.0,400.0,220.0,110.0,50.0,4.2105263157894735,248.54840000000002
Maserati,Grecale Folgore,2017.0,77639.35,18610.0,95.0,400.0,220.0,110.0,129.0,4.2105263157894735,248.54840000000002
Maserati,Grecale Folgore,2017.0,106313.02,10076.0,95.0,400.0,220.0,110.0,194.0,4.2105263157894735,248.54840000000002
Maserati,Grecale Folgore,2025.0,80905.13,2363.0,95.0,400.0,220.0,110.0,262.0,4.2105263157894735,248.54840000000002
Maserati,Grecale Folgore,2019.0,131950.47,18074.0,95.0,400.0,220.0,110.0,271.0,4.2105263157894735,248.54840000000002
Maserati,Grecale Folgore,2017.0,49368.5,656.0,95.0,400.0,220.0,110.0,737.0,4.2105263157894735,248.54840000000002
Maserati,Grecale Folgore,2021.0,113958.46,7151.0,95.0,400.0,220.0,110.0,763.0,4.2105263157894735,248.54840000000002
Maserati,Grecale Folgore,2020.0,98878.2,17615.0,95.0,400.0,220.0,110.0,857.0,4.2105263157894735,248.54840000000002
Maserati,Grecale Folgore,2016.0,37917.87,17517.0,95.0,400.0,220.0,110.0,989.0,4.2105263157894735,248.54840000000002
Maserati,Grecale Folgore,2025.0,55414.22,17047.0,95.0,400.0,220.0,110.0,1018.0,4.2105263157894735,248.54840000000002
Maserati,Grecale Folgore,2017.0,50438.18,16107.0,95.0,400.0,220.0,110.0,1064.0,4.2105263157894735,248.54840000000002
Maserati,Grecale Folgore,2016.0,95535.01,7590.0,95.0,400.0,220.0,110.0,1065.0,4.2105263157894735,248.54840000000002
Maserati,Grecale Folgore,2024.0,56446.88,506.0,95.0,400.0,220.0,110.0,1387.0,4.2105263157894735,248.54840000000002
Maserati,Grecale Folgore,2025.0,49908.47,9158.0,95.0,400.0,220.0,110.0,1409.0,4.2105263157894735,248.54840000000002
